delay_type.Door,delay_type.Forklift,delay_type.Transport,loop_bound,branch_tracking,log_size,delay_amount.Door,delay_amount.Forklift,delay_amount.Transport,role_amount.Door,role_amount.Forklift,role_amount.Transport,verification_result,time
E,E,E,2,True,15,1,2,2,1,1,1,True,0.1174001693725586
E,E,E,2,True,15,1,2,2,2,1,1,True,1.4508740901947021
E,E,E,2,True,15,2,2,2,1,1,1,True,0.11002111434936523
E,E,E,2,True,15,2,2,2,2,1,1,True,5.729874610900879
E,E,E,2,True,15,3,2,2,1,1,1,True,0.1333174705505371
E,E,E,2,True,15,3,2,2,2,1,1,True,12.077007055282593
E,E,E,2,True,15,4,2,2,1,1,1,True,0.16177701950073242
E,E,E,2,True,15,4,2,2,2,1,1,True,17.980525255203247
E,E,E,2,True,15,5,2,2,1,1,1,True,0.1318800449371338
E,E,E,2,True,15,5,2,2,2,1,1,True,26.394437313079834
E,E,E,2,True,15,6,2,2,1,1,1,True,0.1373732089996338
E,E,E,2,True,15,6,2,2,2,1,1,True,33.48029851913452
E,E,E,2,True,15,7,2,2,1,1,1,True,0.142531156539917
E,E,E,2,True,15,7,2,2,2,1,1,True,42.06240248680115
E,E,E,2,True,15,8,2,2,1,1,1,True,0.15860462188720703
E,E,E,2,True,15,8,2,2,2,1,1,True,46.42776703834534
E,E,E,2,True,15,9,2,2,1,1,1,True,0.13848495483398438
E,E,E,2,True,15,9,2,2,2,1,1,True,52.29945516586304
E,E,E,2,True,15,10,2,2,1,1,1,True,0.16058945655822754
E,E,E,2,True,15,10,2,2,2,1,1,True,53.97169804573059
E,E,E,2,True,15,11,2,2,1,1,1,True,0.16174769401550293
E,E,E,2,True,15,11,2,2,2,1,1,True,55.96126627922058
E,E,E,2,True,15,12,2,2,1,1,1,True,0.18055224418640137
E,E,E,2,True,15,12,2,2,2,1,1,True,56.86948823928833
E,E,E,2,True,15,13,2,2,1,1,1,True,0.1490468978881836
E,E,E,2,True,15,13,2,2,2,1,1,True,57.119380235672
E,E,E,2,True,15,14,2,2,1,1,1,True,0.15624713897705078
E,E,E,2,True,15,14,2,2,2,1,1,True,61.04372429847717
E,E,E,2,True,15,15,2,2,1,1,1,True,0.1558234691619873
E,E,E,2,True,15,15,2,2,2,1,1,True,57.3676278591156
E,E,E,2,True,15,16,2,2,1,1,1,True,0.1704106330871582
E,E,E,2,True,15,16,2,2,2,1,1,True,69.57642984390259
E,E,E,2,True,15,17,2,2,1,1,1,True,0.18607735633850098
E,E,E,2,True,15,17,2,2,2,1,1,True,65.97127676010132
E,E,E,2,True,15,18,2,2,1,1,1,True,0.15302538871765137
E,E,E,2,True,15,18,2,2,2,1,1,True,59.70818591117859
E,E,E,2,True,15,19,2,2,1,1,1,True,0.17149901390075684
E,E,E,2,True,15,19,2,2,2,1,1,True,63.578256130218506
E,E,E,2,True,15,20,2,2,1,1,1,True,0.1619853973388672
E,E,E,2,True,15,20,2,2,2,1,1,True,60.703619956970215
