delay_type.Door,delay_type.Forklift,delay_type.Transport,loop_bound,branch_tracking,log_size,delay_amount.Door,delay_amount.Forklift,delay_amount.Transport,role_amount.Door,role_amount.Forklift,role_amount.Transport,verification_result,time
E,E,E,2,True,15,2,1,2,1,1,1,True,0.19702720642089844
E,E,E,2,True,15,2,1,2,1,2,1,True,0.706326961517334
E,E,E,2,True,15,2,1,2,1,3,1,True,5.2088706493377686
E,E,E,2,True,15,2,2,2,1,1,1,True,0.10327577590942383
E,E,E,2,True,15,2,2,2,1,2,1,True,2.202536106109619
E,E,E,2,True,15,2,2,2,1,3,1,True,50.72844624519348
E,E,E,2,True,15,2,3,2,1,1,1,True,0.13531255722045898
E,E,E,2,True,15,2,3,2,1,2,1,True,3.4032394886016846
E,E,E,2,True,15,2,3,2,1,3,1,True,356.6022069454193
E,E,E,2,True,15,2,4,2,1,1,1,True,0.16664409637451172
E,E,E,2,True,15,2,4,2,1,2,1,True,3.835317611694336
E,E,E,2,True,15,2,4,2,1,3,1,True,844.0825793743134
E,E,E,2,True,15,2,5,2,1,1,1,True,0.2646358013153076
E,E,E,2,True,15,2,5,2,1,2,1,True,4.300374984741211
E,E,E,2,True,15,2,5,2,1,3,1,True,976.1751236915588
E,E,E,2,True,15,2,6,2,1,1,1,True,0.1680614948272705
E,E,E,2,True,15,2,6,2,1,2,1,True,4.166465759277344
E,E,E,2,True,15,2,6,2,1,3,1,True,1017.1374049186707
E,E,E,2,True,15,2,7,2,1,1,1,True,0.17854070663452148
E,E,E,2,True,15,2,7,2,1,2,1,True,4.308091163635254
E,E,E,2,True,15,2,7,2,1,3,1,True,1092.4427297115326
E,E,E,2,True,15,2,8,2,1,1,1,True,0.15159034729003906
E,E,E,2,True,15,2,8,2,1,2,1,True,4.362219333648682
E,E,E,2,True,15,2,8,2,1,3,1,True,1220.1671245098114
E,E,E,2,True,15,2,9,2,1,1,1,True,0.1333632469177246
E,E,E,2,True,15,2,9,2,1,2,1,True,4.547565460205078
E,E,E,2,True,15,2,9,2,1,3,1,True,1367.079481124878
E,E,E,2,True,15,2,10,2,1,1,1,True,0.18032431602478027
E,E,E,2,True,15,2,10,2,1,2,1,True,4.562653303146362
E,E,E,2,True,15,2,10,2,1,3,1,True,1436.9646875858307
E,E,E,2,True,15,2,11,2,1,1,1,True,0.1801767349243164
E,E,E,2,True,15,2,11,2,1,2,1,True,4.445298910140991
E,E,E,2,True,15,2,11,2,1,3,1,True,1461.3513448238373
E,E,E,2,True,15,2,12,2,1,1,1,True,0.18027019500732422
E,E,E,2,True,15,2,12,2,1,2,1,True,4.5268778800964355
E,E,E,2,True,15,2,12,2,1,3,1,True,1452.6706516742706
E,E,E,2,True,15,2,13,2,1,1,1,True,0.15507745742797852
E,E,E,2,True,15,2,13,2,1,2,1,True,4.550624847412109
E,E,E,2,True,15,2,13,2,1,3,1,True,1462.4375739097595
E,E,E,2,True,15,2,14,2,1,1,1,True,0.105743408203125
E,E,E,2,True,15,2,14,2,1,2,1,True,4.4886205196380615
E,E,E,2,True,15,2,14,2,1,3,1,True,1458.9059300422668
E,E,E,2,True,15,2,15,2,1,1,1,True,0.16136407852172852
E,E,E,2,True,15,2,15,2,1,2,1,True,4.410991191864014
E,E,E,2,True,15,2,15,2,1,3,1,True,1463.622269153595
E,E,E,2,True,15,2,16,2,1,1,1,True,0.20884251594543457
E,E,E,2,True,15,2,16,2,1,2,1,True,4.502178192138672
E,E,E,2,True,15,2,16,2,1,3,1,True,1458.5613124370575
E,E,E,2,True,15,2,17,2,1,1,1,True,0.19197535514831543
E,E,E,2,True,15,2,17,2,1,2,1,True,4.5039918422698975
E,E,E,2,True,15,2,17,2,1,3,1,True,1467.4480197429657
E,E,E,2,True,15,2,18,2,1,1,1,True,0.22440385818481445
E,E,E,2,True,15,2,18,2,1,2,1,True,4.531899690628052
E,E,E,2,True,15,2,18,2,1,3,1,True,1465.3217673301697
E,E,E,2,True,15,2,19,2,1,1,1,True,0.16910362243652344
E,E,E,2,True,15,2,19,2,1,2,1,True,4.606311798095703
E,E,E,2,True,15,2,19,2,1,3,1,True,1466.831137895584
E,E,E,2,True,15,2,20,2,1,1,1,True,0.2658553123474121
E,E,E,2,True,15,2,20,2,1,2,1,True,4.702606678009033
E,E,E,2,True,15,2,20,2,1,3,1,True,1472.4711782932281
