delay_type.Door,delay_type.Forklift,delay_type.Transport,loop_bound,branch_tracking,log_size,delay_amount.Door,delay_amount.Forklift,delay_amount.Transport,role_amount.Door,role_amount.Forklift,role_amount.Transport,verification_result,time
E,E,E,2,True,15,2,1,2,1,1,1,True,0.197027206
E,E,E,2,True,15,2,1,2,1,2,1,True,0.706326962
E,E,E,2,True,15,2,1,2,1,3,1,True,5.208870649
E,E,E,2,True,15,2,2,2,1,1,1,True,0.103275776
E,E,E,2,True,15,2,2,2,1,2,1,True,2.202536106
E,E,E,2,True,15,2,2,2,1,3,1,True,50.72844625
E,E,E,2,True,15,2,3,2,1,1,1,True,0.135312557
E,E,E,2,True,15,2,3,2,1,2,1,True,3.403239489
E,E,E,2,True,15,2,3,2,1,3,1,True,356.6022069
E,E,E,2,True,15,2,4,2,1,1,1,True,0.166644096
E,E,E,2,True,15,2,4,2,1,2,1,True,3.835317612
E,E,E,2,True,15,2,4,2,1,3,1,True,844.0825794
E,E,E,2,True,15,2,5,2,1,1,1,True,0.264635801
E,E,E,2,True,15,2,5,2,1,2,1,True,4.300374985
E,E,E,2,True,15,2,5,2,1,3,1,True,976.1751237
E,E,E,2,True,15,2,6,2,1,1,1,True,0.168061495
E,E,E,2,True,15,2,6,2,1,2,1,True,4.166465759
E,E,E,2,True,15,2,6,2,1,3,1,True,1017.137405
E,E,E,2,True,15,2,7,2,1,1,1,True,0.178540707
E,E,E,2,True,15,2,7,2,1,2,1,True,4.308091164
E,E,E,2,True,15,2,7,2,1,3,1,True,1092.44273
E,E,E,2,True,15,2,8,2,1,1,1,True,0.151590347
E,E,E,2,True,15,2,8,2,1,2,1,True,4.362219334
E,E,E,2,True,15,2,8,2,1,3,1,True,1220.167125
E,E,E,2,True,15,2,9,2,1,1,1,True,0.133363247
E,E,E,2,True,15,2,9,2,1,2,1,True,4.54756546
E,E,E,2,True,15,2,9,2,1,3,1,True,1367.079481
E,E,E,2,True,15,2,10,2,1,1,1,True,0.180324316
E,E,E,2,True,15,2,10,2,1,2,1,True,4.562653303
E,E,E,2,True,15,2,10,2,1,3,1,True,1436.964688
E,E,E,2,True,15,2,11,2,1,1,1,True,0.180176735
E,E,E,2,True,15,2,11,2,1,2,1,True,4.44529891
E,E,E,2,True,15,2,11,2,1,3,1,True,1461.351345
E,E,E,2,True,15,2,12,2,1,1,1,True,0.180270195
E,E,E,2,True,15,2,12,2,1,2,1,True,4.52687788
E,E,E,2,True,15,2,12,2,1,3,1,True,1452.670652
E,E,E,2,True,15,2,13,2,1,1,1,True,0.155077457
E,E,E,2,True,15,2,13,2,1,2,1,True,4.550624847
E,E,E,2,True,15,2,13,2,1,3,1,True,1462.437574
E,E,E,2,True,15,2,14,2,1,1,1,True,0.105743408
E,E,E,2,True,15,2,14,2,1,2,1,True,4.48862052
E,E,E,2,True,15,2,14,2,1,3,1,True,1458.90593
E,E,E,2,True,15,2,15,2,1,1,1,True,0.161364079
E,E,E,2,True,15,2,15,2,1,2,1,True,4.410991192
E,E,E,2,True,15,2,15,2,1,3,1,True,1463.622269
E,E,E,2,True,15,2,16,2,1,1,1,True,0.208842516
E,E,E,2,True,15,2,16,2,1,2,1,True,4.502178192
E,E,E,2,True,15,2,16,2,1,3,1,True,1458.561312
E,E,E,2,True,15,2,17,2,1,1,1,True,0.191975355
E,E,E,2,True,15,2,17,2,1,2,1,True,4.503991842
E,E,E,2,True,15,2,17,2,1,3,1,True,1467.44802
E,E,E,2,True,15,2,18,2,1,1,1,True,0.224403858
E,E,E,2,True,15,2,18,2,1,2,1,True,4.531899691
E,E,E,2,True,15,2,18,2,1,3,1,True,1465.321767
E,E,E,2,True,15,2,19,2,1,1,1,True,0.169103622
E,E,E,2,True,15,2,19,2,1,2,1,True,4.606311798
E,E,E,2,True,15,2,19,2,1,3,1,True,1466.831138
E,E,E,2,True,15,2,20,2,1,1,1,True,0.265855312
E,E,E,2,True,15,2,20,2,1,2,1,True,4.702606678
E,E,E,2,True,15,2,20,2,1,3,1,True,1472.471178
E,S,E,2,True,15,2,1,2,1,1,1,True,0.176916599
E,S,E,2,True,15,2,1,2,1,2,1,True,4.016920328
E,S,E,2,True,15,2,1,2,1,3,1,True,1077.343324
E,S,E,2,True,15,2,2,2,1,1,1,True,0.139491558
E,S,E,2,True,15,2,2,2,1,2,1,True,4.323762178
E,S,E,2,True,15,2,2,2,1,3,1,True,1411.36454
E,S,E,2,True,15,2,3,2,1,1,1,True,0.19400692
E,S,E,2,True,15,2,3,2,1,2,1,True,4.354999304
E,S,E,2,True,15,2,3,2,1,3,1,True,1407.744244
E,S,E,2,True,15,2,4,2,1,1,1,True,0.162947416
E,S,E,2,True,15,2,4,2,1,2,1,True,4.471818924
E,S,E,2,True,15,2,4,2,1,3,1,True,1415.271551
E,S,E,2,True,15,2,5,2,1,1,1,True,0.138813734
E,S,E,2,True,15,2,5,2,1,2,1,True,4.422025681
E,S,E,2,True,15,2,5,2,1,3,1,True,1410.289605
E,S,E,2,True,15,2,6,2,1,1,1,True,0.175044537
E,S,E,2,True,15,2,6,2,1,2,1,True,4.355229139
E,S,E,2,True,15,2,6,2,1,3,1,True,1410.302245
E,S,E,2,True,15,2,7,2,1,1,1,True,0.138241291
E,S,E,2,True,15,2,7,2,1,2,1,True,4.449190378
E,S,E,2,True,15,2,7,2,1,3,1,True,1419.218937
E,S,E,2,True,15,2,8,2,1,1,1,True,0.183877945
E,S,E,2,True,15,2,8,2,1,2,1,True,4.415252924
E,S,E,2,True,15,2,8,2,1,3,1,True,1437.570308
E,S,E,2,True,15,2,9,2,1,1,1,True,0.197488308
E,S,E,2,True,15,2,9,2,1,2,1,True,4.355634451
E,S,E,2,True,15,2,9,2,1,3,1,True,1417.246013
E,S,E,2,True,15,2,10,2,1,1,1,True,0.12864542
E,S,E,2,True,15,2,10,2,1,2,1,True,4.374200344
E,S,E,2,True,15,2,10,2,1,3,1,True,1419.321975
E,S,E,2,True,15,2,11,2,1,1,1,True,0.207705021
E,S,E,2,True,15,2,11,2,1,2,1,True,4.575212002
E,S,E,2,True,15,2,11,2,1,3,1,True,1418.443581
E,S,E,2,True,15,2,12,2,1,1,1,True,0.175889254
E,S,E,2,True,15,2,12,2,1,2,1,True,4.460053444
E,S,E,2,True,15,2,12,2,1,3,1,True,1414.550622
E,S,E,2,True,15,2,13,2,1,1,1,True,0.193036079
E,S,E,2,True,15,2,13,2,1,2,1,True,4.449898481
E,S,E,2,True,15,2,13,2,1,3,1,True,1421.47491
E,S,E,2,True,15,2,14,2,1,1,1,True,0.173561096
E,S,E,2,True,15,2,14,2,1,2,1,True,4.453617334
E,S,E,2,True,15,2,14,2,1,3,1,True,1427.122367
E,S,E,2,True,15,2,15,2,1,1,1,True,0.185560226
E,S,E,2,True,15,2,15,2,1,2,1,True,4.450393915
E,S,E,2,True,15,2,15,2,1,3,1,True,1442.83151
E,S,E,2,True,15,2,16,2,1,1,1,True,0.17522645
E,S,E,2,True,15,2,16,2,1,2,1,True,4.418232918
E,S,E,2,True,15,2,16,2,1,3,1,True,1421.858986
E,S,E,2,True,15,2,17,2,1,1,1,True,0.143855333
E,S,E,2,True,15,2,17,2,1,2,1,True,4.730902433
E,S,E,2,True,15,2,17,2,1,3,1,True,1442.307435
E,S,E,2,True,15,2,18,2,1,1,1,True,0.179462433
E,S,E,2,True,15,2,18,2,1,2,1,True,4.377859592
E,S,E,2,True,15,2,18,2,1,3,1,True,1416.51834
E,S,E,2,True,15,2,19,2,1,1,1,True,0.127228022
