delay_type.Door,delay_type.Forklift,delay_type.Transport,loop_bound,branch_tracking,log_size,delay_amount.Door,delay_amount.Forklift,delay_amount.Transport,role_amount.Door,role_amount.Forklift,role_amount.Transport,verification_result,time
E,S,E,2,True,15,2,1,2,1,1,1,True,0.17691659927368164
E,S,E,2,True,15,2,1,2,1,2,1,True,4.016920328140259
E,S,E,2,True,15,2,1,2,1,3,1,True,1077.3433239459991
E,S,E,2,True,15,2,2,2,1,1,1,True,0.13949155807495117
E,S,E,2,True,15,2,2,2,1,2,1,True,4.3237621784210205
E,S,E,2,True,15,2,2,2,1,3,1,True,1411.3645401000977
E,S,E,2,True,15,2,3,2,1,1,1,True,0.19400691986083984
E,S,E,2,True,15,2,3,2,1,2,1,True,4.354999303817749
E,S,E,2,True,15,2,3,2,1,3,1,True,1407.744244337082
E,S,E,2,True,15,2,4,2,1,1,1,True,0.162947416305542
E,S,E,2,True,15,2,4,2,1,2,1,True,4.471818923950195
E,S,E,2,True,15,2,4,2,1,3,1,True,1415.2715511322021
E,S,E,2,True,15,2,5,2,1,1,1,True,0.13881373405456543
E,S,E,2,True,15,2,5,2,1,2,1,True,4.422025680541992
E,S,E,2,True,15,2,5,2,1,3,1,True,1410.2896046638489
E,S,E,2,True,15,2,6,2,1,1,1,True,0.17504453659057617
E,S,E,2,True,15,2,6,2,1,2,1,True,4.355229139328003
E,S,E,2,True,15,2,6,2,1,3,1,True,1410.3022446632385
E,S,E,2,True,15,2,7,2,1,1,1,True,0.13824129104614258
E,S,E,2,True,15,2,7,2,1,2,1,True,4.449190378189087
E,S,E,2,True,15,2,7,2,1,3,1,True,1419.218936920166
E,S,E,2,True,15,2,8,2,1,1,1,True,0.18387794494628906
E,S,E,2,True,15,2,8,2,1,2,1,True,4.415252923965454
E,S,E,2,True,15,2,8,2,1,3,1,True,1437.5703077316284
E,S,E,2,True,15,2,9,2,1,1,1,True,0.19748830795288086
E,S,E,2,True,15,2,9,2,1,2,1,True,4.355634450912476
E,S,E,2,True,15,2,9,2,1,3,1,True,1417.246012687683
E,S,E,2,True,15,2,10,2,1,1,1,True,0.1286454200744629
E,S,E,2,True,15,2,10,2,1,2,1,True,4.374200344085693
E,S,E,2,True,15,2,10,2,1,3,1,True,1419.3219752311707
