delay_type.Door,delay_type.Forklift,delay_type.Transport,loop_bound,branch_tracking,log_size,delay_amount.Door,delay_amount.Forklift,delay_amount.Transport,role_amount.Door,role_amount.Forklift,role_amount.Transport,verification_result,time
E,E,E,2,True,50,2,2,2,1,1,2,True,25.236910343170166
E,E,E,2,True,100,2,2,2,1,1,2,True,36.13834547996521
E,E,E,2,True,150,2,2,2,1,1,2,True,48.80572009086609
E,E,E,2,True,200,2,2,2,1,1,2,True,58.9405734539032
E,E,E,2,True,250,2,2,2,1,1,2,True,70.52084016799927
E,E,E,2,True,300,2,2,2,1,1,2,True,82.6213595867157
E,E,E,2,True,350,2,2,2,1,1,2,True,95.57031965255737
E,E,E,2,True,400,2,2,2,1,1,2,True,106.81443476676941
E,E,E,2,True,450,2,2,2,1,1,2,True,119.77284097671509
E,E,E,2,True,500,2,2,2,1,1,2,True,132.4461190700531
E,E,E,2,True,550,2,2,2,1,1,2,True,145.78441882133484
E,E,E,2,True,600,2,2,2,1,1,2,True,158.07745480537415
E,E,E,2,True,650,2,2,2,1,1,2,True,170.30574655532837
E,E,E,2,True,700,2,2,2,1,1,2,True,184.44648432731628
E,E,E,2,True,750,2,2,2,1,1,2,True,198.8985652923584
E,E,E,2,True,800,2,2,2,1,1,2,True,213.55629229545593
E,E,E,2,True,850,2,2,2,1,1,2,True,227.71995759010315
E,E,E,2,True,900,2,2,2,1,1,2,True,241.1647927761078
E,E,E,2,True,950,2,2,2,1,1,2,True,254.71628141403198
E,E,E,2,True,1000,2,2,2,1,1,2,True,271.5017421245575
E,E,E,2,True,1050,2,2,2,1,1,2,True,282.96587562561035
E,E,E,2,True,1100,2,2,2,1,1,2,True,300.331139087677
E,E,E,2,True,1150,2,2,2,1,1,2,True,319.8589057922363
E,E,E,2,True,1200,2,2,2,1,1,2,True,333.82014060020447
E,E,E,2,True,1250,2,2,2,1,1,2,True,348.81126141548157
E,E,E,2,True,1300,2,2,2,1,1,2,True,362.4324486255646
E,E,E,2,True,1350,2,2,2,1,1,2,True,377.010454416275
E,E,E,2,True,1400,2,2,2,1,1,2,True,396.5215411186218
E,E,E,2,True,1450,2,2,2,1,1,2,True,416.8311035633087
E,E,E,2,True,1500,2,2,2,1,1,2,True,427.1428244113922
