delay_type.Door,delay_type.Forklift,delay_type.Transport,path_bound,branch_tracking,log_size,delay_amount.Door,delay_amount.Forklift,delay_amount.Transport,role_amount.Door,role_amount.Forklift,role_amount.Transport,verification_result,,,,,time
E,E,E,1,True,43,2,2,2,1,1,1,True,0.111447573,0.141604424,0.122514009,0.152302027,0.131967008
E,E,E,2,True,43,2,2,2,1,1,1,True,0.126593828,0.123785257,0.124609232,0.1491642,0.131038129
E,E,E,3,True,43,2,2,2,1,1,1,True,0.223470688,0.228156805,0.248113155,0.234742641,0.233620822
E,E,E,4,True,43,2,2,2,1,1,1,True,0.607766867,0.630931139,0.601522207,0.664522886,0.626185775
E,E,E,5,True,43,2,2,2,1,1,1,True,1.850956678,1.962636709,1.96615839,2.045740843,1.956373155
E,E,E,6,True,43,2,2,2,1,1,1,True,6.572086573,6.2976861,6.310605288,6.436312914,6.404172719
E,E,E,7,True,43,2,2,2,1,1,1,True,21.92784452,21.96525741,21.79052401,21.64833331,21.83298981
E,E,E,8,True,43,2,2,2,1,1,1,True,73.01765728,74.64928937,73.41251326,73.00743771,73.5217244
E,E,E,9,True,43,2,2,2,1,1,1,True,246.4178674,245.9510276,247.9708612,246.6725526,246.7530772
E,E,E,10,True,43,2,2,2,1,1,1,True,841.6788726,829.1261029,824.5063124,828.8450561,831.039086
