delay_type.Door,delay_type.Forklift,delay_type.Transport,loop_bound,branch_tracking,log_size,delay_amount.Door,delay_amount.Forklift,delay_amount.Transport,role_amount.Door,role_amount.Forklift,role_amount.Transport,verification_result,time
E,E,E,2,True,21,2,2,1,1,1,1,True,0.159768581
E,E,E,2,True,21,2,2,1,1,1,2,True,1.7965765
E,E,E,2,True,21,2,2,2,1,1,1,True,0.109057903
E,E,E,2,True,21,2,2,2,1,1,2,True,18.154773
E,E,E,2,True,21,2,2,3,1,1,1,True,0.125976086
E,E,E,2,True,21,2,2,3,1,1,2,True,60.92163801
E,E,E,2,True,21,2,2,4,1,1,1,True,0.158397198
E,E,E,2,True,21,2,2,4,1,1,2,True,98.5784843
E,E,E,2,True,21,2,2,5,1,1,1,True,0.178738356
E,E,E,2,True,21,2,2,5,1,1,2,True,161.8729515
E,E,E,2,True,21,2,2,6,1,1,1,True,0.158571482
E,E,E,2,True,21,2,2,6,1,1,2,True,256.605406
E,E,E,2,True,21,2,2,7,1,1,1,True,0.15215373
E,E,E,2,True,21,2,2,7,1,1,2,True,390.2476859
E,E,E,2,True,21,2,2,8,1,1,1,True,0.127757072
E,E,E,2,True,21,2,2,8,1,1,2,True,467.8687091
E,E,E,2,True,21,2,2,9,1,1,1,True,0.128612041
E,E,E,2,True,21,2,2,9,1,1,2,True,530.9852219
E,E,E,2,True,21,2,2,10,1,1,1,True,0.178488493
E,E,E,2,True,21,2,2,10,1,1,2,True,550.1550732
E,E,E,2,True,21,2,2,11,1,1,1,True,0.165474653
E,E,E,2,True,21,2,2,11,1,1,2,True,546.1059566
E,E,E,2,True,21,2,2,12,1,1,1,True,0.123942375
E,E,E,2,True,21,2,2,12,1,1,2,True,547.0280933
E,E,E,2,True,21,2,2,13,1,1,1,True,0.149728298
E,E,E,2,True,21,2,2,13,1,1,2,True,545.6666737
E,E,E,2,True,21,2,2,14,1,1,1,True,0.164487123
E,E,E,2,True,21,2,2,14,1,1,2,True,545.8622408
E,E,E,2,True,21,2,2,15,1,1,1,True,0.149897337
E,E,E,2,True,21,2,2,15,1,1,2,True,547.9377182
E,E,E,2,True,21,2,2,16,1,1,1,True,0.139441252
E,E,E,2,True,21,2,2,16,1,1,2,True,547.9432299
E,E,E,2,True,21,2,2,17,1,1,1,True,0.134641886
E,E,E,2,True,21,2,2,17,1,1,2,True,550.925261
E,E,E,2,True,21,2,2,18,1,1,1,True,0.166591644
E,E,E,2,True,21,2,2,18,1,1,2,True,547.7130826
E,E,E,2,True,21,2,2,19,1,1,1,True,0.156096458
E,E,E,2,True,21,2,2,19,1,1,2,True,548.0916328
E,E,E,2,True,21,2,2,20,1,1,1,True,0.166413546
E,E,E,2,True,21,2,2,20,1,1,2,True,547.394145
E,E,S,2,True,21,2,2,1,1,1,1,True,0.150678158
E,E,S,2,True,21,2,2,1,1,1,2,True,383.3532102
E,E,S,2,True,21,2,2,2,1,1,1,True,0.185220718
E,E,S,2,True,21,2,2,2,1,1,2,True,534.5905275
E,E,S,2,True,21,2,2,3,1,1,1,True,0.158321857
E,E,S,2,True,21,2,2,3,1,1,2,True,541.0928555
E,E,S,2,True,21,2,2,4,1,1,1,True,0.12654233
E,E,S,2,True,21,2,2,4,1,1,2,True,535.3515875
E,E,S,2,True,21,2,2,5,1,1,1,True,0.163896322
E,E,S,2,True,21,2,2,5,1,1,2,True,542.6120362
E,E,S,2,True,21,2,2,6,1,1,1,True,0.161116838
E,E,S,2,True,21,2,2,6,1,1,2,True,539.0555789
E,E,S,2,True,21,2,2,7,1,1,1,True,0.124986172
E,E,S,2,True,21,2,2,7,1,1,2,True,534.4581563
E,E,S,2,True,21,2,2,8,1,1,1,True,0.116946459
E,E,S,2,True,21,2,2,8,1,1,2,True,544.139905
E,E,S,2,True,21,2,2,9,1,1,1,True,0.159183979
E,E,S,2,True,21,2,2,9,1,1,2,True,539.338253
E,E,S,2,True,21,2,2,10,1,1,1,True,0.122799397
E,E,S,2,True,21,2,2,10,1,1,2,True,537.6757398
E,E,S,2,True,21,2,2,11,1,1,1,True,0.171145678
E,E,S,2,True,21,2,2,11,1,1,2,True,546.2901061
E,E,S,2,True,21,2,2,12,1,1,1,True,0.120513678
E,E,S,2,True,21,2,2,12,1,1,2,True,539.4559317
E,E,S,2,True,21,2,2,13,1,1,1,True,0.105650425
E,E,S,2,True,21,2,2,13,1,1,2,True,545.1333163
E,E,S,2,True,21,2,2,14,1,1,1,True,0.127225161
E,E,S,2,True,21,2,2,14,1,1,2,True,544.5373468
E,E,S,2,True,21,2,2,15,1,1,1,True,0.166278124
E,E,S,2,True,21,2,2,15,1,1,2,True,539.3139703
E,E,S,2,True,21,2,2,16,1,1,1,True,0.141129971
E,E,S,2,True,21,2,2,16,1,1,2,True,541.3783929
E,E,S,2,True,21,2,2,17,1,1,1,True,0.171888828
E,E,S,2,True,21,2,2,17,1,1,2,True,543.0504494
E,E,S,2,True,21,2,2,18,1,1,1,True,0.141347885
E,E,S,2,True,21,2,2,18,1,1,2,True,541.5622025
E,E,S,2,True,21,2,2,19,1,1,1,True,0.155925989
E,E,S,2,True,21,2,2,19,1,1,2,True,542.087641
E,E,S,2,True,21,2,2,20,1,1,1,True,0.163752556
E,E,S,2,True,21,2,2,20,1,1,2,True,539.6735876
