delay_type.Door,delay_type.Forklift,delay_type.Transport,loop_bound,branch_tracking,log_size,delay_amount.Door,delay_amount.Forklift,delay_amount.Transport,role_amount.Door,role_amount.Forklift,role_amount.Transport,verification_result,time
E,E,S,2,True,21,2,2,1,1,1,1,True,0.15067815780639648
E,E,S,2,True,21,2,2,1,1,1,2,True,383.35321021080017
E,E,S,2,True,21,2,2,2,1,1,1,True,0.18522071838378906
E,E,S,2,True,21,2,2,2,1,1,2,True,534.5905275344849
E,E,S,2,True,21,2,2,3,1,1,1,True,0.15832185745239258
E,E,S,2,True,21,2,2,3,1,1,2,True,541.0928554534912
E,E,S,2,True,21,2,2,4,1,1,1,True,0.126542329788208
E,E,S,2,True,21,2,2,4,1,1,2,True,535.3515875339508
E,E,S,2,True,21,2,2,5,1,1,1,True,0.1638963222503662
E,E,S,2,True,21,2,2,5,1,1,2,True,542.6120362281799
E,E,S,2,True,21,2,2,6,1,1,1,True,0.1611168384552002
E,E,S,2,True,21,2,2,6,1,1,2,True,539.0555789470673
E,E,S,2,True,21,2,2,7,1,1,1,True,0.12498617172241211
E,E,S,2,True,21,2,2,7,1,1,2,True,534.4581563472748
E,E,S,2,True,21,2,2,8,1,1,1,True,0.11694645881652832
E,E,S,2,True,21,2,2,8,1,1,2,True,544.1399049758911
E,E,S,2,True,21,2,2,9,1,1,1,True,0.15918397903442383
E,E,S,2,True,21,2,2,9,1,1,2,True,539.3382530212402
E,E,S,2,True,21,2,2,10,1,1,1,True,0.12279939651489258
E,E,S,2,True,21,2,2,10,1,1,2,True,537.6757397651672
