transitions,roles,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,build_time
1,1,0.679395199,0.606204271,0.615978718,0.606827021,0.579568624,0.593931913,0.62509346,0.691930294,0.607922316,0.605659723,0.621251154
1,1,0.635355473,0.71178031,0.555554152,0.620456457,0.605641365,0.690112352,0.595318317,0.625893116,0.624585867,0.584890127,0.624958754
1,1,0.729748726,0.561672688,0.612495899,0.745000124,0.641079664,0.696499109,0.619804621,0.603873253,0.687156916,0.568676233,0.646600723
1,1,0.601576328,0.595322371,0.615396738,0.593549252,0.612359524,0.693312407,0.685134172,0.676809311,0.575696707,0.576946259,0.622610307
1,1,0.580360174,0.616486788,0.616061926,0.647503614,0.720356941,0.589590073,0.664959431,0.577961206,0.591221333,0.56984663,0.617434812
1,1,0.60111618,0.649767876,0.621963024,0.57961154,0.61536932,0.6506989,0.622349501,0.607174873,0.587580204,0.639528275,0.617515969
1,1,0.629948854,0.662582874,0.610896349,0.70864296,0.601553202,0.57766223,0.654218674,0.676105022,0.705824614,0.589752197,0.641718698
1,1,0.562308073,0.600116491,0.624987602,0.687306881,0.590536594,0.584258556,0.644641638,0.599458933,0.621089935,0.736495256,0.625119996
1,1,0.604899883,0.697412491,0.674397707,0.6051085,0.602598667,0.602656126,0.602605343,0.616103172,0.600902081,0.662190914,0.626887488
1,1,0.624854803,0.608851194,0.617594242,0.595305204,0.614859104,0.568533182,0.60471034,0.63346076,0.617391586,0.716389179,0.62019496
1,1,0.609009027,0.612763882,0.616831303,0.613974571,0.615828037,0.593288898,0.633810759,0.602664232,0.604995012,0.600519896,0.610368562
1,1,0.628187656,0.624237299,0.578025103,0.614676237,0.595653296,0.685610533,0.579872608,0.739803314,0.56153059,0.597476959,0.62050736
2,1,0.594112396,0.593920946,0.620813608,0.613363981,0.574504375,0.717359304,0.624438047,0.594214916,0.58633852,0.555308104,0.60743742
2,1,0.628361225,0.701578856,0.641011238,0.701446056,0.570166826,0.684380054,0.671120882,0.591217756,0.616995573,0.632270098,0.643854856
2,1,0.571962833,0.571297884,0.613831997,0.624835491,0.609243393,0.608251572,0.614350796,0.63395977,0.619161367,0.617422581,0.608431768
2,1,0.653105259,0.656134844,0.668950558,0.646492004,0.644291639,0.715042591,0.788379431,0.655105352,0.608897686,0.626514196,0.666291356
2,1,0.579684496,0.608392715,0.606875896,0.620063782,0.581826925,0.606449127,0.603250742,0.570968628,0.611361742,0.579687834,0.596856189
2,1,0.603636265,0.636735916,0.620577335,0.68777132,0.633336782,0.584273815,0.646872044,0.608826399,0.596106529,0.612477779,0.623061419
2,1,0.602679014,0.601274729,0.625487089,0.679947376,0.634507179,0.605141878,0.605686903,0.600617409,0.619293928,0.626444817,0.620108032
2,1,0.663321495,0.594301939,0.624688387,0.585218191,0.579696655,0.575353861,0.635125637,0.60114789,0.639037132,0.63173008,0.612962127
2,1,0.617989779,0.684388876,0.624453783,0.650231838,0.652283907,0.583368063,0.609087706,0.640628099,0.642536402,0.625431776,0.633040023
2,1,0.606663227,0.665908575,0.669950008,0.657626152,0.616099358,0.601544619,0.617168188,0.630689859,0.609920025,0.618369102,0.629393911
2,2,1.315528393,1.275727272,1.254620314,1.211300611,1.226414442,1.338117599,1.213028431,1.248370409,1.196499348,1.342514753,1.262212157
2,2,1.211544752,1.304201841,1.237436533,1.23246479,1.219411373,1.340864658,1.233598232,1.217860222,1.188523293,1.386915922,1.257282162
2,2,1.198483467,1.226730824,1.305871725,1.244235516,1.23724246,1.209377289,1.314368248,1.337090731,1.232760906,1.148308516,1.245446968
2,2,1.305855036,1.322806597,1.189666271,1.222783804,1.203566313,1.37361598,1.333785534,1.237779617,1.230901957,1.311057091,1.27318182
2,2,1.345482111,1.424944878,1.298723221,1.225506783,1.299753428,1.215933561,1.287323236,1.228116512,1.2089746,1.353126287,1.288788462
3,1,0.558317423,0.640454531,0.598066568,0.603031635,0.687368393,0.686535358,0.710139513,0.577181339,0.586022615,0.632336378,0.627945375
3,1,0.605121613,0.603500366,0.632781267,0.587957382,0.603309155,0.697303295,0.634683609,0.594181061,0.610774994,0.616693974,0.618630672
3,1,0.569723606,0.702795744,0.617817163,0.584839821,0.584327459,0.622247458,0.635476589,0.682555199,0.577530861,0.572221518,0.614953542
3,1,0.617841721,0.610265732,0.624106407,0.619117737,0.60355258,0.596349716,0.715854406,0.610655308,0.620200872,0.683941126,0.63018856
3,1,0.607525349,0.57030797,0.603538275,0.570280313,0.594444513,0.564915657,0.554333687,0.608867884,0.608699799,0.600449324,0.588336277
3,1,0.589211226,0.587935925,0.609356642,0.67990613,0.618094921,0.65767169,0.600497484,0.602668285,0.618164063,0.612535,0.617604136
3,1,0.695334673,0.672379494,0.681799412,0.597589254,0.624829531,0.599144936,0.62428689,0.579702616,0.618281364,0.619098663,0.631244683
3,1,0.627901554,0.599297285,0.657948732,0.74895525,0.626627445,0.644842148,0.610994816,0.757596731,0.607032776,0.648704052,0.652990079
3,1,0.762365103,0.615962982,0.618200779,0.622550249,0.700503349,0.593379974,0.621538162,0.613449097,0.630659819,0.653850317,0.643245983
3,1,0.61188221,0.580109119,0.579297781,0.619393826,0.586335421,0.825402737,0.624373198,0.583576202,0.61869669,0.59441328,0.622348046
3,1,0.667426586,0.606694698,0.754846573,0.603189945,0.624211788,0.609177828,0.631999493,0.601598024,0.592066765,0.623659134,0.631487083
3,1,0.633868933,0.626582384,0.562541723,0.648142099,0.615120888,0.625919819,0.580234528,0.631632805,0.609176874,0.606369495,0.613958955
3,1,0.703727484,0.649885654,0.617713451,0.634377003,0.639511347,0.72061491,0.588367462,0.609163761,0.663236618,0.622746706,0.64493444
3,1,0.619754791,0.615026712,0.743431091,0.608143806,0.601554632,0.65320015,0.595422983,0.633645773,0.629845381,0.638305664,0.633833098
3,1,0.618671417,0.589403391,0.61204195,0.622850418,0.63544631,0.610756159,0.594673395,0.628175735,0.683870077,0.58115077,0.617703962
3,2,1.388369083,1.170791864,1.218440294,1.18086791,1.323080301,1.163903475,1.215819836,1.203366041,1.321876287,1.195556164,1.238207126
3,2,1.311779022,1.235601187,1.274525881,1.205157757,1.215229034,1.33093524,1.342387199,1.219572306,1.230888367,1.210576296,1.257665229
3,2,1.204093218,1.324347734,1.235050201,1.222855568,1.223549843,1.325862408,1.246708155,1.178679705,1.206449986,1.248329163,1.241592598
3,3,1.950607061,1.817255259,1.809333563,2.000622749,1.925795078,1.802232981,2.07588315,1.913596153,1.884023428,2.004737616,1.918408704
4,1,0.655766487,0.602902174,0.643088341,0.614493608,0.694330931,0.621039152,0.628536701,0.576557636,0.576578856,0.584843159,0.619813704
4,1,0.647854567,0.62689805,0.570204496,0.611078978,0.624012709,0.705295086,0.715161324,0.619712353,0.603075743,0.624763966,0.634805727
4,1,0.624165773,0.641884089,0.594611406,0.615761518,0.737389565,0.623686314,0.587645292,0.646133423,0.620784283,0.624542236,0.63166039
4,1,0.609564066,0.670377731,0.616631031,0.594965458,0.551989317,0.679946661,0.721611977,0.604413271,0.610971689,0.647696257,0.630816746
4,1,0.616333246,0.718120813,0.633560896,0.574855328,0.630922079,0.619231939,0.642038822,0.626655102,0.61954689,0.73175168,0.64130168
