transitions,roles,build_time,projection_time,rt
1,1,0.665619612,0,1
1,1,0.745414495,0,1
1,1,0.629343033,0,1
1,1,0.73720932,0,1
1,1,0.624979496,0,1
1,1,0.593576193,0.007407188,1
1,1,0.758583069,0,1
1,1,0.618869781,0,1
1,1,0.658643007,0,1
1,1,0.60893774,0,1
1,1,0.657069206,0,1
1,1,0.661453485,0,1
2,1,0.564175844,0,2
2,1,0.593118191,0.000555038,2
2,1,0.716900587,0,2
2,1,0.7575109,0,2
2,1,0.727008104,0,2
2,1,0.799927473,0,2
2,1,0.636153698,0,2
2,1,0.745759726,0,2
2,1,0.677824259,0,2
2,1,0.600086689,0,2
3,1,0.589414835,0.00147295,3
3,1,0.698193789,0,3
3,1,0.71953702,0,3
3,1,0.830352545,0,3
3,1,0.731253386,0,3
3,1,0.602144957,0,3
3,1,0.817615509,0,3
3,1,0.637540579,0,3
3,1,0.686605453,0,3
3,1,0.635694504,0,3
3,1,0.676060915,0,3
3,1,0.657162189,0,3
3,1,0.715490103,0,3
3,1,0.644477367,0,3
3,1,0.656730652,0,3
4,1,0.580265045,0,4
4,1,0.629229784,0,4
4,1,0.627676964,0.001000166,4
4,1,0.742584705,0,4
4,1,0.607009649,0.005385399,4
4,1,0.636579514,0,4
4,1,0.611403465,0,4
4,1,0.815997601,0,4
4,1,0.653244019,0,4
2,2,1.255509853,0.000144005,4
2,2,1.256168365,0,4
2,2,1.321713448,0,4
2,2,1.320473433,0,4
2,2,1.511428356,0,4
5,1,0.714535475,0,5
5,1,0.703453064,0,5
5,1,0.729302406,0,5
5,1,0.623262644,0,5
5,1,0.672686338,0,5
5,1,0.72146368,0,5
6,1,0.565428734,0,6
6,1,0.739078283,0,6
6,1,0.854043722,0,6
6,1,0.71873498,0,6
6,1,0.656882286,0,6
6,1,0.654263258,0.000589371,6
6,1,0.682539463,0,6
3,2,1.425969839,0,6
3,2,1.293383598,0,6
3,2,1.262721777,0,6
7,1,0.654848337,0,7
7,1,0.655359507,0,7
7,1,0.756859303,0,7
8,1,0.653283119,0,8
8,1,0.638185978,0,8
8,1,0.662012577,0,8
4,2,1.330762863,0,8
4,2,1.438699484,0,8
4,2,1.286248922,0,8
4,2,1.269225836,0,8
4,2,0.898925304,0,8
4,2,1.330704689,0,8
4,2,1.314692974,0,8
4,2,1.366366148,0,8
4,2,1.278105974,0,8
9,1,0.719395161,0.009073734,9
9,1,0.670671701,0,9
9,1,0.644571781,0,9
3,3,1.927284718,0,9
5,2,1.159851313,0.000999451,10
5,2,1.266957283,0,10
5,2,1.256205082,0.003742933,10
5,2,1.31406045,0.011352539,10
5,2,1.543429375,0,10
5,2,1.259021759,0.000536442,10
5,2,1.412619114,0,10
5,2,1.213628292,0.000878096,10
5,2,1.378722429,0,10
5,2,1.332580566,0,10
5,2,1.333076954,0,10
5,2,1.493900537,0,10
12,1,0.658127308,0,12
6,2,1.30096364,0,12
6,2,1.391235113,0,12
6,2,1.218484402,0,12
6,2,1.549139738,0.000525951,12
6,2,1.286007881,0,12
13,1,0.686749458,0,13
14,1,0.651425362,0,14
14,1,0.688742161,0,14
7,2,1.034811974,0,14
7,2,1.189539671,0,14
7,2,1.277468443,0.014680147,14
7,2,1.301535845,0,14
7,2,1.500169516,0,14
7,2,1.29129982,0,14
7,2,0.750225782,0,14
7,2,1.257600069,0,14
7,2,1.50877738,0,14
