transitions,roles,build_time,valid_run,valid_run_time,valid_query,name
1,1,0.585059881,True,0.08134079,E<> trueGlobalLog[0].eventID == R358_e_0_ID and trueGlobalLog[0].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_10_commands\24_max_5_roles_max_10_commands\24_max_5_roles_max_10_commands.json
1,1,0.529261589,True,0.079959154,E<> trueGlobalLog[0].eventID == R83_e_0_ID and trueGlobalLog[0].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\10_max_5_roles_max_5_commands\10_max_5_roles_max_5_commands.json
1,1,0.483225346,True,0.077203512,E<> trueGlobalLog[0].eventID == R222_e_0_ID and trueGlobalLog[0].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\24_max_5_roles_max_5_commands\24_max_5_roles_max_5_commands.json
1,1,0.531098843,True,0.084466696,E<> trueGlobalLog[0].eventID == R246_e_0_ID and trueGlobalLog[0].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\27_max_5_roles_max_5_commands\27_max_5_roles_max_5_commands.json
1,1,0.488355637,True,0.083829641,E<> trueGlobalLog[0].eventID == R615_e_0_ID and trueGlobalLog[0].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\65_max_5_roles_max_5_commands\65_max_5_roles_max_5_commands.json
1,1,0.505581856,True,0.076047659,E<> trueGlobalLog[0].eventID == R648_e_0_ID and trueGlobalLog[0].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\68_max_5_roles_max_5_commands\68_max_5_roles_max_5_commands.json
1,1,0.490027905,True,0.077177286,E<> trueGlobalLog[0].eventID == R747_e_0_ID and trueGlobalLog[0].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\79_max_5_roles_max_5_commands\79_max_5_roles_max_5_commands.json
1,1,0.476253033,True,0.081660032,E<> trueGlobalLog[0].eventID == R750_e_0_ID and trueGlobalLog[0].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\80_max_5_roles_max_5_commands\80_max_5_roles_max_5_commands.json
1,1,0.629726648,True,0.094294548,E<> trueGlobalLog[0].eventID == R617_e_0_ID and trueGlobalLog[0].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\10_roles_5_commands\34_max_10_roles_max_5_commands\34_max_10_roles_max_5_commands.json
1,1,0.577634335,True,0.11090374,E<> trueGlobalLog[0].eventID == R2700_e_0_ID and trueGlobalLog[0].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\20_roles_10_commands\47_max_20_roles_max_10_commands\47_max_20_roles_max_10_commands.json
1,1,0.51926446,True,0.090523005,E<> trueGlobalLog[0].eventID == R14045_e_0_ID and trueGlobalLog[0].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\20_roles_20_commands\135_max_20_roles_max_20_commands\135_max_20_roles_max_20_commands.json
1,1,0.519161701,True,0.079704046,E<> trueGlobalLog[0].eventID == R27689_e_0_ID and trueGlobalLog[0].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\20_roles_20_commands\274_max_20_roles_max_20_commands\274_max_20_roles_max_20_commands.json
2,1,0.57897687,True,0.098497868,E<> trueGlobalLog[0].eventID == R396_e_0_ID and trueGlobalLog[1].eventID == R396_e_1_ID and trueGlobalLog[1].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_10_commands\27_max_5_roles_max_10_commands\27_max_5_roles_max_10_commands.json
2,1,0.553478956,True,0.075755358,E<> trueGlobalLog[0].eventID == R991_e_1_ID and trueGlobalLog[1].eventID == R991_e_0_ID and trueGlobalLog[1].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_10_commands\65_max_5_roles_max_10_commands\65_max_5_roles_max_10_commands.json
2,1,0.484502554,True,0.115279913,E<> trueGlobalLog[0].eventID == R218_e_1_ID and trueGlobalLog[1].eventID == R218_e_0_ID and trueGlobalLog[1].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\23_max_5_roles_max_5_commands\23_max_5_roles_max_5_commands.json
2,1,0.481635809,True,0.089931726,E<> trueGlobalLog[0].eventID == R374_e_0_ID and trueGlobalLog[1].eventID == R374_e_1_ID and trueGlobalLog[1].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\38_max_5_roles_max_5_commands\38_max_5_roles_max_5_commands.json
2,1,0.529524326,True,0.080141544,E<> trueGlobalLog[0].eventID == R398_e_1_ID and trueGlobalLog[1].eventID == R398_e_0_ID and trueGlobalLog[1].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\40_max_5_roles_max_5_commands\40_max_5_roles_max_5_commands.json
2,2,0.957720518,True,0.091612816,E<> trueGlobalLog[0].eventID == R401_e_0_ID and trueGlobalLog[1].eventID == R402_e_0_ID and trueGlobalLog[1].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\41_max_5_roles_max_5_commands\41_max_5_roles_max_5_commands.json
2,2,1.017551422,True,0.099556684,E<> trueGlobalLog[0].eventID == R422_e_0_ID and trueGlobalLog[1].eventID == R421_e_0_ID and trueGlobalLog[1].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\43_max_5_roles_max_5_commands\43_max_5_roles_max_5_commands.json
2,1,0.486397505,True,0.094125032,E<> trueGlobalLog[0].eventID == R505_e_0_ID and trueGlobalLog[1].eventID == R505_e_1_ID and trueGlobalLog[1].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\52_max_5_roles_max_5_commands\52_max_5_roles_max_5_commands.json
